"CCAA","Anio","Dim","Valor"
"Andalucía",2008,"dim1",98.1920602887567
"Andalucía",2008,"dim2",95.7905982011239
"Andalucía",2008,"dim3",97.6400393735047
"Andalucía",2008,"dim4",96.3124850765122
"Andalucía",2008,"dim5",98.4537167294696
"Andalucía",2008,"dim6",100.297729172755
"Andalucía",2008,"dim7",94.866658602028
"Andalucía",2008,"dim8",97.4709815265685
"Andalucía",2008,"dim9",101.184344532106
"Andalucía",2009,"dim1",97.3453933975125
"Andalucía",2009,"dim2",94.2389351980856
"Andalucía",2009,"dim3",96.9796078585498
"Andalucía",2009,"dim4",96.4958811609785
"Andalucía",2009,"dim5",98.4537167294696
"Andalucía",2009,"dim6",99.3636773140936
"Andalucía",2009,"dim7",94.866658602028
"Andalucía",2009,"dim8",97.4415340414039
"Andalucía",2009,"dim9",101.184344532106
"Andalucía",2010,"dim1",95.9906759218603
"Andalucía",2010,"dim2",92.9653023729298
"Andalucía",2010,"dim3",98.3217923689607
"Andalucía",2010,"dim4",97.4933629116681
"Andalucía",2010,"dim5",98.4537167294696
"Andalucía",2010,"dim6",100.444985573089
"Andalucía",2010,"dim7",94.866658602028
"Andalucía",2010,"dim8",99.160601734104
"Andalucía",2010,"dim9",101.184344532106
"Andalucía",2011,"dim1",95.807804859123
"Andalucía",2011,"dim2",91.2205426685548
"Andalucía",2011,"dim3",98.7304660325219
"Andalucía",2011,"dim4",98.0473156391386
"Andalucía",2011,"dim5",98.4537167294696
"Andalucía",2011,"dim6",100.444985573089
"Andalucía",2011,"dim7",94.866658602028
"Andalucía",2011,"dim8",99.0862909253844
"Andalucía",2011,"dim9",101.184344532106
"Andalucía",2012,"dim1",96.2098841222965
"Andalucía",2012,"dim2",90.2052022278922
"Andalucía",2012,"dim3",99.8469745495134
"Andalucía",2012,"dim4",98.4641493950048
"Andalucía",2012,"dim5",98.4537167294696
"Andalucía",2012,"dim6",100.576628110292
"Andalucía",2012,"dim7",94.866658602028
"Andalucía",2012,"dim8",99.3044612893067
"Andalucía",2012,"dim9",101.184344532106
"Andalucía",2013,"dim1",95.5380691594163
"Andalucía",2013,"dim2",88.9368156957317
"Andalucía",2013,"dim3",99.2443538686727
"Andalucía",2013,"dim4",98.5336748744776
"Andalucía",2013,"dim5",98.4537167294696
"Andalucía",2013,"dim6",101.65798300221
"Andalucía",2013,"dim7",94.866658602028
"Andalucía",2013,"dim8",100.136366355579
"Andalucía",2013,"dim9",101.184344532106
"Andalucía",2014,"dim1",93.7690921711953
"Andalucía",2014,"dim2",89.0450968349436
"Andalucía",2014,"dim3",100.038798466484
"Andalucía",2014,"dim4",98.0385863827451
"Andalucía",2014,"dim5",98.4537167294696
"Andalucía",2014,"dim6",101.289730507088
"Andalucía",2014,"dim7",94.866658602028
"Andalucía",2014,"dim8",100.203317991796
"Andalucía",2014,"dim9",101.184344532106
"Andalucía",2015,"dim1",95.3208208436274
"Andalucía",2015,"dim2",90.4191663170437
"Andalucía",2015,"dim3",100.123146057941
"Andalucía",2015,"dim4",98.9566162866675
"Andalucía",2015,"dim5",99.6604065104879
"Andalucía",2015,"dim6",102.915085181022
"Andalucía",2015,"dim7",94.866658602028
"Andalucía",2015,"dim8",100.502504655877
"Andalucía",2015,"dim9",101.184344532106
"Andalucía",2016,"dim1",95.0107802670756
"Andalucía",2016,"dim2",91.3835312149041
"Andalucía",2016,"dim3",101.220515932933
"Andalucía",2016,"dim4",99.4435438645979
"Andalucía",2016,"dim5",99.6604065104879
"Andalucía",2016,"dim6",102.279223484182
"Andalucía",2016,"dim7",94.866658602028
"Andalucía",2016,"dim8",100.468426676021
"Andalucía",2016,"dim9",101.184344532106
"Andalucía",2017,"dim1",97.5845263283545
"Andalucía",2017,"dim2",92.6283542718547
"Andalucía",2017,"dim3",103.328635895386
"Andalucía",2017,"dim4",99.3427566824974
"Andalucía",2017,"dim5",99.6604065104879
"Andalucía",2017,"dim6",102.68046264414
"Andalucía",2017,"dim7",94.866658602028
"Andalucía",2017,"dim8",99.6679660161668
"Andalucía",2017,"dim9",101.184344532106
"Andalucía",2018,"dim1",96.2599121103052
"Andalucía",2018,"dim2",93.9693870462516
"Andalucía",2018,"dim3",101.263654262685
"Andalucía",2018,"dim4",100.103769110499
"Andalucía",2018,"dim5",97.4899164737913
"Andalucía",2018,"dim6",101.263712427249
"Andalucía",2018,"dim7",94.866658602028
"Andalucía",2018,"dim8",99.544913140353
"Andalucía",2018,"dim9",102.366705756506
"Andalucía",2019,"dim1",97.7378265256997
"Andalucía",2019,"dim2",94.9723149004293
"Andalucía",2019,"dim3",101.944211813803
"Andalucía",2019,"dim4",100.705873047406
"Andalucía",2019,"dim5",97.4899164737913
"Andalucía",2019,"dim6",101.380626605793
"Andalucía",2019,"dim7",94.866658602028
"Andalucía",2019,"dim8",100.173691425605
"Andalucía",2019,"dim9",102.366705756506
"Andalucía",2020,"dim1",97.4968876480051
"Andalucía",2020,"dim2",94.9168946891344
"Andalucía",2020,"dim3",99.0038399229354
"Andalucía",2020,"dim4",101.079892951451
"Andalucía",2020,"dim5",97.4899164737913
"Andalucía",2020,"dim6",101.498639160083
"Andalucía",2020,"dim7",94.866658602028
"Andalucía",2020,"dim8",98.8200910966936
"Andalucía",2020,"dim9",102.366705756506
"Andalucía",2021,"dim1",96.5429891068226
"Andalucía",2021,"dim2",94.6789161269747
"Andalucía",2021,"dim3",98.6406317952459
"Andalucía",2021,"dim4",104.450130846411
"Andalucía",2021,"dim5",97.2559680962058
"Andalucía",2021,"dim6",101.228995661735
"Andalucía",2021,"dim7",94.866658602028
"Andalucía",2021,"dim8",98.6340963837542
"Andalucía",2021,"dim9",103.622610020584
"Andalucía",2022,"dim1",97.379419046291
"Andalucía",2022,"dim2",96.2699334720971
"Andalucía",2022,"dim3",100.417005372163
"Andalucía",2022,"dim4",106.583170278509
"Andalucía",2022,"dim5",96.2643713457608
"Andalucía",2022,"dim6",100.157485311726
"Andalucía",2022,"dim7",96.3675577371849
"Andalucía",2022,"dim8",97.9080514190629
"Andalucía",2022,"dim9",102.729359157606
"Andalucía",2023,"dim1",96.8461149534057
"Andalucía",2023,"dim2",98.0781396909409
"Andalucía",2023,"dim3",100.038643866753
"Andalucía",2023,"dim4",107.297620065806
"Andalucía",2023,"dim5",96.0977277606389
"Andalucía",2023,"dim6",100.290332977954
